StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile,SSIM
0.06,2.0,0.05,8.32,120.192308,0075.png,0.942953
0.06,2.0,0.1,8.64,115.740741,0076.png,0.953542
0.06,2.0,0.15,8.8,113.636364,0077.png,0.963267
0.06,2.0,0.2,9.27,107.874865,0078.png,0.972877
0.06,2.0,0.25,10.64,93.984962,0079.png,0.982895
0.11,0.25,0.05,53.33,18.751172,0080.png,0.996976
0.11,0.25,0.1,53.45,18.709074,0081.png,0.997033
0.11,0.25,0.15,53.55,18.674136,0082.png,0.997034
0.11,0.25,0.2,53.75,18.604651,0083.png,0.996946
0.11,0.25,0.25,54.52,18.341893,0084.png,0.996958
0.11,0.5,0.05,27.49,36.376864,0085.png,0.994583
0.11,0.5,0.1,27.85,35.906643,0086.png,0.99682
0.11,0.5,0.15,27.94,35.790981,0087.png,0.996998
0.11,0.5,0.2,28.31,35.323207,0088.png,0.997045
0.11,0.5,0.25,29.51,33.886818,0089.png,0.997044
0.11,0.75,0.05,19.02,52.576236,0090.png,0.989371
0.11,0.75,0.1,19.07,52.438385,0091.png,0.994651
0.11,0.75,0.15,19.34,51.706308,0092.png,0.996514
0.11,0.75,0.2,19.81,50.479556,0093.png,0.996901
0.11,0.75,0.25,21.26,47.036689,0094.png,0.996881
0.11,1.0,0.05,14.74,67.842605,0095.png,0.980529
0.11,1.0,0.1,15.04,66.489362,0096.png,0.988861
0.11,1.0,0.15,15.36,65.104167,0097.png,0.993832
0.11,1.0,0.2,15.75,63.492063,0098.png,0.996077
0.11,1.0,0.25,16.84,59.382423,0099.png,0.996908
0.11,1.25,0.05,12.16,82.236842,0100.png,0.97108
0.11,1.25,0.1,12.31,81.234768,0101.png,0.981096
0.11,1.25,0.15,12.6,79.365079,0102.png,0.987986
0.11,1.25,0.2,13.06,76.569678,0103.png,0.992897
0.11,1.25,0.25,14.14,70.721358,0104.png,0.995832
0.11,1.5,0.05,10.19,98.135427,0105.png,0.961661
0.11,1.5,0.1,10.34,96.711799,0106.png,0.972167
0.11,1.5,0.15,10.63,94.073377,0107.png,0.980316
0.11,1.5,0.2,11.08,90.252708,0108.png,0.987633
0.11,1.5,0.25,12.28,81.433225,0109.png,0.993304
0.11,1.75,0.05,8.86,112.866817,0110.png,0.951287
0.11,1.75,0.1,8.63,115.874855,0111.png,0.962176
0.11,1.75,0.15,9.04,110.619469,0112.png,0.971603
0.11,1.75,0.2,9.41,106.269926,0113.png,0.980168
0.11,1.75,0.25,10.66,93.80863,0114.png,0.98827
0.11,2.0,0.05,8.04,124.378109,0115.png,0.942686
0.11,2.0,0.1,8.46,118.20331,0116.png,0.953185
0.11,2.0,0.15,8.57,116.686114,0117.png,0.962736
0.11,2.0,0.2,8.87,112.739572,0118.png,0.972205
0.11,2.0,0.25,9.69,103.199174,0119.png,0.982099
0.16,0.25,0.05,53.31,18.758207,0120.png,0.995808
0.16,0.25,0.1,53.4,18.726592,0121.png,0.995702
0.16,0.25,0.15,53.45,18.709074,0122.png,0.995768
0.16,0.25,0.2,53.39,18.730099,0123.png,0.995682
0.16,0.25,0.25,53.71,18.618507,0124.png,0.995718
0.16,0.5,0.05,27.4,36.49635,0125.png,0.99381
0.16,0.5,0.1,27.78,35.99712,0126.png,0.995528
0.16,0.5,0.15,27.77,36.010083,0127.png,0.995593
0.16,0.5,0.2,28.09,35.599858,0128.png,0.995611
0.16,0.5,0.25,28.48,35.11236,0129.png,0.995614
0.16,0.75,0.05,18.77,53.276505,0130.png,0.988901
0.16,0.75,0.1,19.09,52.383447,0131.png,0.993727
0.16,0.75,0.15,19.21,52.056221,0132.png,0.995435
0.16,0.75,0.2,19.34,51.706308,0133.png,0.995631
0.16,0.75,0.25,20.21,49.480455,0134.png,0.995684
0.16,1.0,0.05,14.94,66.934404,0135.png,0.980139
0.16,1.0,0.1,14.86,67.294751,0136.png,0.988085
0.16,1.0,0.15,15.01,66.622252,0137.png,0.992747
0.16,1.0,0.2,15.37,65.061809,0138.png,0.994865
0.16,1.0,0.25,16.05,62.305296,0139.png,0.99551
0.16,1.25,0.05,12.08,82.781457,0140.png,0.97069
0.16,1.25,0.1,12.29,81.366965,0141.png,0.980368
0.16,1.25,0.15,12.42,80.515298,0142.png,0.987134
0.16,1.25,0.2,12.66,78.988942,0143.png,0.991892
0.16,1.25,0.25,13.35,74.906367,0144.png,0.994662
0.16,1.5,0.05,10.18,98.231827,0145.png,0.961414
0.16,1.5,0.1,10.29,97.18173,0146.png,0.97165
0.16,1.5,0.15,10.47,95.510984,0147.png,0.979676
0.16,1.5,0.2,10.74,93.10987,0148.png,0.98678
0.16,1.5,0.25,11.47,87.183958,0149.png,0.992204
0.16,1.75,0.05,9.11,109.769484,0150.png,0.950966
0.16,1.75,0.1,8.62,116.009281,0151.png,0.961572
0.16,1.75,0.15,9.21,108.577633,0152.png,0.970792
0.16,1.75,0.2,9.34,107.066381,0153.png,0.979323
0.16,1.75,0.25,10.12,98.814229,0154.png,0.987197
0.16,2.0,0.05,8.38,119.331742,0155.png,0.942567
0.16,2.0,0.1,8.19,122.100122,0156.png,0.95285
0.16,2.0,0.15,8.44,118.483412,0157.png,0.962194
0.16,2.0,0.2,8.68,115.207373,0158.png,0.971533
0.16,2.0,0.25,9.28,107.758621,0159.png,0.981184
0.21,0.25,0.05,53.36,18.74063,0160.png,0.994481
0.21,0.25,0.1,53.43,18.716077,0161.png,0.994242
0.21,0.25,0.15,53.43,18.716077,0162.png,0.994389
0.21,0.25,0.2,53.37,18.737118,0163.png,0.994533
0.21,0.25,0.25,53.47,18.702076,0164.png,0.994286
0.21,0.5,0.05,27.54,36.310821,0165.png,0.992945
0.21,0.5,0.1,27.44,36.443149,0166.png,0.994239
0.21,0.5,0.15,27.75,36.036036,0167.png,0.994315
0.21,0.5,0.2,27.72,36.075036,0168.png,0.994327
0.21,0.5,0.25,28.22,35.435861,0169.png,0.994404
0.21,0.75,0.05,18.56,53.87931,0170.png,0.988134
0.21,0.75,0.1,19.03,52.548607,0171.png,0.992662
0.21,0.75,0.15,19.1,52.356021,0172.png,0.994181
0.21,0.75,0.2,19.18,52.137643,0173.png,0.994229
0.21,0.75,0.25,19.66,50.8647,0174.png,0.99428
0.21,1.0,0.05,14.8,67.567568,0175.png,0.979666
0.21,1.0,0.1,14.89,67.159167,0176.png,0.987201
0.21,1.0,0.15,14.94,66.934404,0177.png,0.991718
0.21,1.0,0.2,15.06,66.401062,0178.png,0.993559
0.21,1.0,0.25,15.67,63.816209,0179.png,0.994131
0.21,1.25,0.05,12.1,82.644628,0180.png,0.970338
0.21,1.25,0.1,12.18,82.101806,0181.png,0.979753
0.21,1.25,0.15,12.35,80.97166,0182.png,0.986335
0.21,1.25,0.2,12.45,80.321285,0183.png,0.990858
0.21,1.25,0.25,12.98,77.041602,0184.png,0.993384
0.21,1.5,0.05,10.25,97.560976,0185.png,0.961003
0.21,1.5,0.1,10.39,96.246391,0186.png,0.97102
0.21,1.5,0.15,10.42,95.96929,0187.png,0.979003
0.21,1.5,0.2,10.67,93.720712,0188.png,0.985902
0.21,1.5,0.25,11.18,89.445438,0189.png,0.991085
0.21,1.75,0.05,8.61,116.144019,0190.png,0.9508
0.21,1.75,0.1,9.13,109.529025,0191.png,0.961241
0.21,1.75,0.15,9.13,109.529025,0192.png,0.970255
0.21,1.75,0.2,9.15,109.289617,0193.png,0.978823
0.21,1.75,0.25,9.92,100.806452,0194.png,0.986409
0.21,2.0,0.05,8.13,123.00123,0195.png,0.94228
0.21,2.0,0.1,8.22,121.654501,0196.png,0.952347
0.21,2.0,0.15,8.41,118.906064,0197.png,0.961575
0.21,2.0,0.2,8.62,116.009281,0198.png,0.970709
0.21,2.0,0.25,8.6,116.27907,0199.png,0.98025
